ID,Temperature,Wind,Battery
265,-2.1470203E+09,1.1719676E+09,-1.7379777E+09
36,-2.1271057E+09,518531420,647129800
787,-2.1252993E+09,-1.6009594E+09,-954356350
617,-2.1164909E+09,-1.4128159E+09,-1.9234991E+09
773,-2.1164622E+09,1.4545816E+09,-785372500
73,-2.1134129E+09,-1.2489699E+09,1.8508617E+09
603,-2.111724E+09,-1.6298557E+09,1.1663615E+09
38,-2.1111305E+09,1.9493772E+09,-1.3613052E+09
548,-2.1081348E+09,-1.503153E+09,-1.1218742E+09
370,-2.1044572E+09,1.8290975E+09,971961900
379,-2.09757E+09,-841431400,456895260
420,-2.0912791E+09,1.9140334E+09,-2.0448384E+09
788,-2.0909943E+09,-1.9722934E+09,1.2270433E+09
752,-2.0835286E+09,-224564260,307538300
480,-2.0788622E+09,1.9642368E+09,-625036300
762,-2.0772728E+09,-408770940,1.530762E+09
91,-2.0762029E+09,-28078640,-630202750
79,-2.0704508E+09,-21949264,-1.263509E+09
105,-2.0640712E+09,774525700,-203374940
501,-2.0606894E+09,1.7026359E+09,-1.105494E+09
482,-2.0544904E+09,158587900,-1.3877545E+09
165,-2.0409824E+09,651019100,-1.3511991E+09
16,-2.0400227E+09,2.0799086E+09,771728450
35,-2.0284225E+09,-489093920,-229768830
273,-2.0282656E+09,-41598460,-618293900
203,-2.0273085E+09,-695755400,-298446460
560,-2.0245478E+09,1.6407539E+09,-651954200
274,-2.0196695E+09,902897800,-2.1473603E+09
245,-2.0164233E+09,1.711617E+09,1.7097098E+09
109,-2.0149412E+09,-1.0772408E+09,381170750
479,-2.0024261E+09,-189859140,2.061751E+09
139,-1.998726E+09,798236860,-179509220
481,-1.9960209E+09,1.1615628E+09,-1.2945117E+09
634,-1.9951589E+09,977872200,-1.0665613E+09
658,-1.9934515E+09,542207300,921065600
40,-1.9917004E+09,-1.0478396E+09,-899915200
566,-1.9901987E+09,-2.0311692E+09,-265097460
243,-1.9866255E+09,1.796961E+09,769554500
490,-1.9847397E+09,224422020,-432187330
264,-1.9756973E+09,-1.8328845E+09,-1.4671662E+09
620,-1.9708195E+09,-518426900,1.0842747E+09
518,-1.9692248E+09,-943241400,1.3561738E+09
706,-1.969116E+09,1.06145766E+09,-1.631747E+09
714,-1.96339E+09,-71479880,-1.1342725E+09
785,-1.9571318E+09,-1.2327812E+09,-49089700
449,-1.9566E+09,666867100,-237001950
333,-1.9542158E+09,-1.2059277E+09,-868950300
670,-1.9541036E+09,1.01922906E+09,1.1405329E+09
72,-1.9534152E+09,-2018960,374799700
67,-1.9496911E+09,-469076860,731302800
5,-1.948267E+09,1.8413203E+09,-201588860
163,-1.9409417E+09,2420820,-1.6598499E+09
